0 2.610212
0.03 2.919066
0.06 2.593172
0.09 2.739587
0.12 2.467067
0.15 2.628151
0.18 2.45353
0.21 2.502646
0.24 2.607378
0.27 2.35514
0.3 2.521617
0.33 2.479821
0.36 2.400004
0.39 2.231055
0.42 2.359583
0.45 2.106617
0.48 2.214132
0.51 2.171175
0.54 2.089029
0.57 2.246941
0.6 2.068659
0.63 2.122489
0.66 2.060787
0.69 2.119428
0.72 2.099112
0.75 1.963122
0.78 1.953577
0.81 1.845156
0.84 2.092014
0.87 2.035252
0.9 1.872959
0.93 1.969574
0.96 1.909573
0.99 1.940579
1.02 1.898605
1.05 1.731154
1.08 1.756053
1.11 1.834984
1.14 1.767132
1.17 1.802202
1.2 1.804251
1.23 1.649271
1.26 1.814426
1.29 1.689919
1.32 1.842316
1.35 1.652738
1.38 1.706256
1.41 1.751479
1.44 1.739544
1.47 1.742876
1.5 1.895062
1.53 1.779859
1.56 1.759877
1.59 1.671793
1.62 1.751457
1.65 1.784052
1.68 1.69324
1.71 1.825018
1.74 1.651463
1.77 1.808344
1.8 1.484964
1.83 1.618345
1.86 1.652954
1.89 1.618389
1.92 1.596882
1.95 1.699003
1.98 1.585946
2.01 1.49267
2.04 1.524373
2.07 1.657955
2.1 1.770053
2.13 1.648686
2.16 1.763063
2.19 1.827354
2.22 1.622761
2.25 1.661293
2.28 1.54936
2.31 1.505951
2.34 1.532704
2.37 1.607255
2.4 1.542778
2.43 1.628127
2.46 1.758541
2.49 1.696597
2.52 1.554314
2.55 1.51406
2.58 1.488663
2.61 1.558253
2.64 1.563262
2.67 1.525857
2.7 1.598299
2.73 1.471672
2.76 1.680252
2.79 1.520523
2.82 1.648807
2.85 1.743238
2.88 1.547367
2.91 1.699189
2.94 1.682314
2.97 1.52034
3 1.440247
